val,target
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,444
30,624
31,624
32,624
33,1118
34,1193
35,1193
36,1193
37,1593
38,1526
39,1526
40,1526
41,1494
42,1086
43,1086
44,1086
45,1086
46,1086
47,1086
48,1119
49,1119
50,1119
51,1120
52,1020
53,1020
54,1020
55,1038
56,1081
57,1081
58,1122
59,1122
60,1147
61,1147
62,1147
63,1171
64,1231
65,1231
66,1231
67,1231
68,1292
69,1295
70,1051
71,1051
72,1051
73,635
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,199
24,285
25,456
26,457
27,457
28,457
29,457
30,457
31,1367
32,2788
33,2813
34,2813
35,3246
36,3806
37,3806
38,3806
39,3942
40,3435
41,3435
42,3435
43,3209
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,395
72,1004
73,1004
74,1004
75,1164
76,1331
77,1348
78,1199
79,1199
80,1199
81,1095
82,934
83,934
84,934
85,598
86,536
87,536
88,536
89,147
90,0
91,0
92,0
93,0
94,0
95,0
96,0
1,75
2,157
3,212
4,242
5,256
6,272
7,285
8,311
9,314
10,318
11,318
12,312
13,312
14,283
15,264
16,235
17,214
18,169
19,115
20,49
21,49
22,49
23,49
24,49
25,49
26,68
27,79
28,83
29,83
30,83
31,83
32,83
33,83
34,83
35,83
36,83
37,83
38,83
39,83
40,83
41,809
42,809
43,809
44,809
45,1137
46,1137
47,1137
48,1137
49,1109
50,1109
51,1109
52,1109
53,783
54,783
55,783
56,783
57,436
58,436
59,436
60,436
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,381
81,381
82,381
83,381
84,516
85,516
86,516
87,486
88,486
89,486
90,486
91,490
92,498
93,515
94,474
95,357
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,281
31,761
32,764
33,764
34,1085
35,1260
36,1260
37,1260
38,1504
39,1591
40,1591
41,1591
42,1808
43,1770
44,1765
45,1607
46,1558
47,1508
48,1506
49,1399
50,1424
51,1324
52,1324
53,1257
54,1067
55,1022
56,1022
57,940
58,867
59,855
60,855
61,954
62,1060
63,1038
64,1038
65,1063
66,1151
67,1063
68,1063
69,1063
70,1198
71,1020
72,1018
73,1018
74,920
75,114
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
