val,target
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,170
30,170
31,170
32,170
33,435
34,435
35,435
36,435
37,1152
38,1152
39,1152
40,1152
41,1790
42,1790
43,1790
44,1790
45,1790
46,1790
47,1790
48,5243
49,5243
50,5243
51,5246
52,5959
53,5959
54,5959
55,6024
56,5996
57,5996
58,5837
59,5837
60,4589
61,4589
62,4589
63,4618
64,3154
65,3154
66,3154
67,3154
68,1156
69,643
70,635
71,635
72,635
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,959
22,959
23,959
24,1423
25,1412
26,583
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,354
78,3878
79,3878
80,3878
81,4147
82,4046
83,4046
84,4046
85,4041
86,3172
87,3172
88,3172
89,2863
90,758
91,0
92,0
93,0
94,0
95,0
96,0
1,130
2,130
3,251
4,688
5,922
6,922
7,1030
8,1187
9,1187
10,1187
11,1194
12,1342
13,1342
14,1342
15,1325
16,785
17,617
18,444
19,382
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,3823
42,3823
43,3823
44,3823
45,5509
46,5509
47,5509
48,5509
49,5825
50,5825
51,5825
52,5825
53,4458
54,4458
55,4458
56,4458
57,2480
58,2480
59,2480
60,2480
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,30
95,30
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,3330
31,7387
32,7387
33,7387
34,9847
35,10566
36,10566
37,10566
38,10945
39,9584
40,9584
41,9584
42,8554
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1436
71,2369
72,2369
73,2369
74,2093
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
