val,target
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,17
22,26
23,26
24,26
25,35
26,42
27,42
28,42
29,82
30,126
31,173
32,195
33,285
34,332
35,374
36,419
37,475
38,514
39,519
40,553
41,564
42,556
43,542
44,565
45,591
46,594
47,588
48,579
49,563
50,576
51,596
52,593
53,576
54,583
55,580
56,581
57,596
58,612
59,610
60,623
61,637
62,651
63,653
64,651
65,652
66,648
67,652
68,623
69,601
70,585
71,567
72,562
73,515
74,456
75,389
76,347
77,254
78,181
79,181
80,181
81,139
82,96
83,96
84,96
85,69
86,56
87,56
88,56
89,22
90,0
91,0
92,0
93,0
94,0
95,0
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,38
22,58
23,77
24,105
25,126
26,146
27,171
28,176
29,217
30,265
31,321
32,377
33,426
34,467
35,503
36,545
37,583
38,570
39,589
40,588
41,585
42,542
43,487
44,344
45,344
46,344
47,358
48,277
49,277
50,277
51,263
52,219
53,219
54,219
55,232
56,186
57,186
58,186
59,206
60,207
61,207
62,207
63,235
64,270
65,270
66,270
67,335
68,414
69,482
70,524
71,569
72,585
73,560
74,553
75,560
76,540
77,527
78,457
79,417
80,393
81,370
82,342
83,297
84,266
85,231
86,190
87,167
88,147
89,105
90,75
91,50
92,29
93,0
94,0
95,0
96,0
1,9
2,15
3,14
4,14
5,17
6,17
7,15
8,19
9,22
10,27
11,28
12,25
13,27
14,27
15,24
16,23
17,22
18,20
19,21
20,21
21,23
22,30
23,43
24,65
25,69
26,81
27,95
28,112
29,124
30,148
31,219
32,285
33,293
34,328
35,363
36,384
37,402
38,414
39,391
40,346
41,257
42,257
43,257
44,257
45,219
46,219
47,219
48,219
49,130
50,130
51,130
52,130
53,92
54,92
55,92
56,92
57,98
58,98
59,98
60,98
61,103
62,103
63,103
64,103
65,142
66,210
67,287
68,370
69,403
70,405
71,464
72,499
73,499
74,523
75,515
76,541
77,507
78,479
79,446
80,450
81,416
82,380
83,353
84,327
85,292
86,267
87,237
88,201
89,175
90,150
91,127
92,97
93,72
94,55
95,34
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,100
30,149
31,207
32,216
33,297
34,340
35,403
36,403
37,455
38,488
39,512
40,506
41,569
42,577
43,606
44,602
45,617
46,625
47,633
48,641
49,638
50,619
51,610
52,609
53,580
54,588
55,602
56,630
57,644
58,644
59,643
60,686
61,717
62,772
63,814
64,884
65,903
66,923
67,925
68,931
69,874
70,817
71,728
72,701
73,605
74,430
75,198
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
