val,target
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,3
20,3
21,3
22,4
23,4
24,4
25,2
26,3
27,3
28,3
29,4
30,5
31,4
32,4
33,4
34,5
35,7
36,6
37,7
38,6
39,6
40,6
41,5
42,4
43,4
44,3
45,3
46,1
47,2
48,2
49,2
50,2
51,3
52,3
53,3
54,3
55,3
56,2
57,3
58,2
59,2
60,2
61,2
62,2
63,1
64,2
65,3
66,3
67,3
68,4
69,5
70,6
71,7
72,7
73,6
74,4
75,6
76,4
77,4
78,4
79,3
80,2
81,2
82,1
83,2
84,3
85,3
86,3
87,3
88,2
89,2
90,1
91,2
92,2
93,1
94,1
95,0
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,2
33,1
34,2
35,3
36,3
37,3
38,4
39,2
40,2
41,2
42,5
43,6
44,6
45,4
46,3
47,3
48,5
49,5
50,6
51,6
52,5
53,5
54,3
55,3
56,4
57,5
58,5
59,4
60,5
61,7
62,7
63,8
64,9
65,9
66,10
67,10
68,7
69,6
70,7
71,6
72,3
73,2
74,1
75,2
76,2
77,2
78,2
79,3
80,3
81,3
82,3
83,3
84,2
85,2
86,4
87,4
88,3
89,3
90,1
91,1
92,2
93,2
94,2
95,0
96,0
1,0
2,0
3,0
4,1
5,2
6,2
7,2
8,3
9,3
10,2
11,2
12,2
13,2
14,4
15,4
16,4
17,4
18,4
19,3
20,3
21,3
22,2
23,1
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,2
33,2
34,2
35,4
36,3
37,3
38,4
39,4
40,5
41,4
42,5
43,5
44,7
45,7
46,6
47,4
48,2
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,2
59,2
60,3
61,3
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,3
73,2
74,4
75,4
76,4
77,6
78,6
79,7
80,8
81,6
82,6
83,6
84,4
85,2
86,1
87,2
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,2
36,2
37,1
38,2
39,2
40,2
41,2
42,2
43,3
44,3
45,4
46,4
47,4
48,3
49,3
50,6
51,6
52,6
53,4
54,3
55,3
56,4
57,5
58,4
59,5
60,5
61,4
62,4
63,5
64,5
65,6
66,6
67,5
68,5
69,6
70,5
71,5
72,5
73,3
74,3
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
